CODGEO;LIBGEO;DEP N°;Région;Zone avant révision 2025;Reclassements 5 septembre 2025
2B184;Olcani;2B;Corse;B1;B2
2B224;Pietracorbara;2B;Corse;B1;B2
2B313;San-Nicolao;2B;Corse;B1;B2
33023;Ayguemorte-les-Graves;33;Nouvelle-Aquitaine;B1;C
33042;Belin-Béliet;33;Nouvelle-Aquitaine;B1;C
33213;La Brède;33;Nouvelle-Aquitaine;B1;C
33333;Le Porge;33;Nouvelle-Aquitaine;A;B1
33366;Saint-André-de-Cubzac;33;Nouvelle-Aquitaine;B1;B2
33540;Vendays-Montalivet;33;Nouvelle-Aquitaine;B1;C
42275;Saint-Priest-en-Jarez;42;Auvergne-Rhône-Alpes;B1;B2
42305;La Talaudière;42;Auvergne-Rhône-Alpes;B1;B2
59173;Deûlémont;59;Hauts-de-France;B1;B2
59208;Escobecques;59;Hauts-de-France;B1;B2
59222;Faumont;59;Hauts-de-France;B1;B2
59398;Mérignies;59;Hauts-de-France;B1;B2
59643;Warneton;59;Hauts-de-France;B1;B2
59653;Wavrin;59;Hauts-de-France;B1;B2
73091;Conjux;73;Auvergne-Rhône-Alpes;B1;B2
94002;Alfortville;94;Île-de-France;Abis;A
