CODGEO;LIBGEO;DEP N°;Région;Zone avant révision 2025;Reclassements 5 septembre 2025
01047;Blyes;01;Auvergne-Rhône-Alpes;C;B2
01054;Bourg-Saint-Christophe;01;Auvergne-Rhône-Alpes;C;B1
01071;Cessy;01;Auvergne-Rhône-Alpes;A;Abis
01078;Challex;01;Auvergne-Rhône-Alpes;A;Abis
01103;Chevry;01;Auvergne-Rhône-Alpes;A;Abis
01135;Crozet;01;Auvergne-Rhône-Alpes;B1;A
01158;Farges;01;Auvergne-Rhône-Alpes;B1;A
01173;Gex;01;Auvergne-Rhône-Alpes;A;Abis
01180;Grilly;01;Auvergne-Rhône-Alpes;A;Abis
01202;Lagnieu;01;Auvergne-Rhône-Alpes;C;B1
01224;Loyettes;01;Auvergne-Rhône-Alpes;C;B1
01290;Pérouges;01;Auvergne-Rhône-Alpes;B2;B1
01308;Pougny;01;Auvergne-Rhône-Alpes;B1;Abis
01378;Saint-Maurice-de-Gourdans;01;Auvergne-Rhône-Alpes;C;B1
01390;Saint-Vulbas;01;Auvergne-Rhône-Alpes;C;B2
01450;Villieu-Loyes-Mollon;01;Auvergne-Rhône-Alpes;C;B2
02163;Charly-sur-Marne;02;Hauts-de-France;C;B2
02555;Nogent-l'Artaud;02;Hauts-de-France;C;B2
02691;Saint-Quentin;02;Hauts-de-France;B2;B1
02722;Soissons;02;Hauts-de-France;B2;B1
05012;Baratier;05;Provence-Alpes-Côte d'Azur;C;B2
05023;Briançon;05;Provence-Alpes-Côte d'Azur;B1;A
05036;Châteauroux-les-Alpes;05;Provence-Alpes-Côte d'Azur;C;B1
05045;Crots;05;Provence-Alpes-Côte d'Azur;C;B2
05063;La Grave;05;Provence-Alpes-Côte d'Azur;C;B2
05079;Le Monêtier-les-Bains;05;Provence-Alpes-Côte d'Azur;B1;A
05085;Montgenèvre;05;Provence-Alpes-Côte d'Azur;C;B2
05093;Névache;05;Provence-Alpes-Côte d'Azur;C;B2
05110;Puy-Saint-Vincent;05;Provence-Alpes-Côte d'Azur;C;B1
05133;Saint-Chaffrey;05;Provence-Alpes-Côte d'Azur;B1;A
05151;Saint-Martin-de-Queyrières;05;Provence-Alpes-Côte d'Azur;C;B1
05156;Saint-Sauveur;05;Provence-Alpes-Côte d'Azur;C;B1
05174;Val-des-Prés;05;Provence-Alpes-Côte d'Azur;C;B2
05180;Les Vigneaux;05;Provence-Alpes-Côte d'Azur;C;B2
05181;Villar-d'Arêne;05;Provence-Alpes-Côte d'Azur;C;B2
08105;Charleville-Mézières;08;Grand Est;B2;B1
08362;Rethel;08;Grand Est;C;B1
08409;Sedan;08;Grand Est;C;B1
10081;La Chapelle-Saint-Luc;10;Grand Est;B2;B1
10265;Les Noës-près-Troyes;10;Grand Est;B2;B1
10268;Nogent-sur-Seine;10;Grand Est;C;B1
10297;Pont-Sainte-Marie;10;Grand Est;B2;B1
10325;Rosières-près-Troyes;10;Grand Est;B2;B1
10333;Saint-André-les-Vergers;10;Grand Est;B2;B1
10343;Saint-Julien-les-Villas;10;Grand Est;B2;B1
11145;Fleury;11;Occitanie;B2;B1
11262;Narbonne;11;Occitanie;B2;B1
11379;Sigean;11;Occitanie;B2;B1
13006;Aureille;13;Provence-Alpes-Côte d'Azur;B2;B1
13017;Boulbon;13;Provence-Alpes-Côte d'Azur;C;B2
13034;Eygalières;13;Provence-Alpes-Côte d'Azur;B2;B1
13044;Grans;13;Provence-Alpes-Côte d'Azur;B1;A
13111;Vauvenargues;13;Provence-Alpes-Côte d'Azur;B2;B1
13118;Coudoux;13;Provence-Alpes-Côte d'Azur;B1;A
14009;Amfreville;14;Normandie;C;B2
14024;Auberville;14;Normandie;B2;B1
14041;Barneville-la-Bertran;14;Normandie;C;B1
14059;Benerville-sur-Mer;14;Normandie;B2;B1
14068;Biéville-Beuville;14;Normandie;B2;B1
14092;Bourguébus;14;Normandie;C;B2
14117;Cabourg;14;Normandie;B1;A
14131;Canapville;14;Normandie;B2;B1
14166;Colleville-Montgomery;14;Normandie;B2;B1
14202;Cricquebœuf;14;Normandie;C;B1
14243;Équemauville;14;Normandie;B2;B1
14246;Escoville;14;Normandie;C;B2
14305;Gonneville-sur-Mer;14;Normandie;C;B1
14306;Gonneville-en-Auge;14;Normandie;C;B2
14319;Grentheville;14;Normandie;C;B2
14328;Hérouvillette;14;Normandie;C;B2
14338;Houlgate;14;Normandie;B1;A
14354;Langrune-sur-Mer;14;Normandie;B2;B1
14365;Lion-sur-Mer;14;Normandie;B2;B1
14407;Mathieu;14;Normandie;B2;B1
14492;Pennedepie;14;Normandie;C;B1
14495;Périers-sur-le-Dan;14;Normandie;B2;B1
14509;Plumetot;14;Normandie;B2;B1
14530;Ranville;14;Normandie;C;B2
14556;Saint-André-sur-Orne;14;Normandie;C;B2
14558;Saint-Aubin-d'Arquenay;14;Normandie;B2;B1
14566;Saint-Contest;14;Normandie;B2;B1
14660;Saint-Vaast-en-Auge;14;Normandie;B2;B1
14665;Sallenelles;14;Normandie;C;B2
14675;Soliers;14;Normandie;C;B2
14698;Touffréville;14;Normandie;C;B2
14724;Varaville;14;Normandie;B2;B1
14731;Vauville;14;Normandie;C;B1
14755;Villerville;14;Normandie;B2;B1
16102;Cognac;16;Nouvelle-Aquitaine;C;B2
16358;Saint-Yrieix-sur-Charente;16;Nouvelle-Aquitaine;B2;B1
17004;Île-d'Aix;17;Nouvelle-Aquitaine;B2;B1
17019;Ars-en-Ré;17;Nouvelle-Aquitaine;B1;A
17051;Le Bois-Plage-en-Ré;17;Nouvelle-Aquitaine;B1;A
17093;Le Château-d'Oléron;17;Nouvelle-Aquitaine;B2;B1
17121;La Couarde-sur-Mer;17;Nouvelle-Aquitaine;B1;A
17161;La Flotte;17;Nouvelle-Aquitaine;B1;A
17194;La Jarrie;17;Nouvelle-Aquitaine;C;B1
17207;Loix;17;Nouvelle-Aquitaine;B1;A
17222;Marsilly;17;Nouvelle-Aquitaine;B2;B1
17286;Les Portes-en-Ré;17;Nouvelle-Aquitaine;B1;A
17297;Rivedoux-Plage;17;Nouvelle-Aquitaine;B1;A
17318;Saint-Clément-des-Baleines;17;Nouvelle-Aquitaine;B1;A
