CODGEO;LIBGEO;DEP N°;Région;Zone avant révision 2024;Reclassements juillet 2024
01078;Challex;01;Auvergne-Rhône-Alpes;B1;A
01103;Chevry;01;Auvergne-Rhône-Alpes;B1;A
01105;Civrieux;01;Auvergne-Rhône-Alpes;B2;B1
01143;Divonne-les-Bains;01;Auvergne-Rhône-Alpes;A;Abis
01153;Échenevex;01;Auvergne-Rhône-Alpes;B1;A
01160;Ferney-Voltaire;01;Auvergne-Rhône-Alpes;A;Abis
01180;Grilly;01;Auvergne-Rhône-Alpes;B1;A
01238;Massieux;01;Auvergne-Rhône-Alpes;B2;B1
01244;Meximieux;01;Auvergne-Rhône-Alpes;B2;B1
01248;Mionnay;01;Auvergne-Rhône-Alpes;B2;B1
01250;Misérieux;01;Auvergne-Rhône-Alpes;B2;B1
01281;Ornex;01;Auvergne-Rhône-Alpes;A;Abis
01313;Prévessin-Moëns;01;Auvergne-Rhône-Alpes;A;Abis
01333;Saint-André-de-Corcy;01;Auvergne-Rhône-Alpes;B2;B1
01354;Saint-Genis-Pouilly;01;Auvergne-Rhône-Alpes;A;Abis
01360;Saint-Jean-de-Gonville;01;Auvergne-Rhône-Alpes;B1;A
01397;Sauverny;01;Auvergne-Rhône-Alpes;B1;Abis
01399;Ségny;01;Auvergne-Rhône-Alpes;A;Abis
01401;Sergy;01;Auvergne-Rhône-Alpes;B1;A
01424;Tramoyes;01;Auvergne-Rhône-Alpes;B2;B1
01435;Versonnex;01;Auvergne-Rhône-Alpes;B1;Abis
01436;Vesancy;01;Auvergne-Rhône-Alpes;B1;A
01443;Villars-les-Dombes;01;Auvergne-Rhône-Alpes;B2;B1
04073;Enchastrayes;04;Provence-Alpes-Côte d'Azur;C;B1
04088;Forcalquier;04;Provence-Alpes-Côte d'Azur;B2;B1
04094;Gréoux-les-Bains;04;Provence-Alpes-Côte d'Azur;B2;B1
04112;Manosque;04;Provence-Alpes-Côte d'Azur;B2;B1
04152;Pierrevert;04;Provence-Alpes-Côte d'Azur;B2;B1
05040;Chorges;05;Provence-Alpes-Côte d'Azur;C;B1
05079;Le Monêtier-les-Bains;05;Provence-Alpes-Côte d'Azur;C;B1
05098;Les Orres;05;Provence-Alpes-Côte d'Azur;C;B1
05101;Vallouise-Pelvoux;05;Provence-Alpes-Côte d'Azur;C;B1
05133;Saint-Chaffrey;05;Provence-Alpes-Côte d'Azur;C;B1
05161;La Salle-les-Alpes;05;Provence-Alpes-Côte d'Azur;C;B1
05177;Vars;05;Provence-Alpes-Côte d'Azur;C;B1
06011;Beaulieu-sur-Mer;06;Provence-Alpes-Côte d'Azur;A;Abis
06012;Beausoleil;06;Provence-Alpes-Côte d'Azur;A;Abis
06014;Bendejun;06;Provence-Alpes-Côte d'Azur;B2;B1
06018;Biot;06;Provence-Alpes-Côte d'Azur;A;Abis
06019;Blausasc;06;Provence-Alpes-Côte d'Azur;B2;B1
06032;Cap-d'Ail;06;Provence-Alpes-Côte d'Azur;A;Abis
06036;Castillon;06;Provence-Alpes-Côte d'Azur;B2;B1
06059;Èze;06;Provence-Alpes-Côte d'Azur;A;Abis
06073;Isola;06;Provence-Alpes-Côte d'Azur;C;B1
06092;Peillon;06;Provence-Alpes-Côte d'Azur;B2;B1
06094;Péone;06;Provence-Alpes-Côte d'Azur;C;B1
06100;Revest-les-Roches;06;Provence-Alpes-Côte d'Azur;B2;B1
06104;Roquebrune-Cap-Martin;06;Provence-Alpes-Côte d'Azur;A;Abis
06105;Roquefort-les-Pins;06;Provence-Alpes-Côte d'Azur;A;Abis
06120;Saint-Étienne-de-Tinée;06;Provence-Alpes-Côte d'Azur;C;B1
06121;Saint-Jean-Cap-Ferrat;06;Provence-Alpes-Côte d'Azur;A;Abis
06127;Saint-Martin-Vésubie;06;Provence-Alpes-Côte d'Azur;C;B1
06130;Saint-Vallier-de-Thiey;06;Provence-Alpes-Côte d'Azur;B1;A
06150;La Turbie;06;Provence-Alpes-Côte d'Azur;A;Abis
06152;Valbonne;06;Provence-Alpes-Côte d'Azur;A;Abis
06159;Villefranche-sur-Mer;06;Provence-Alpes-Côte d'Azur;A;Abis
07281;Saint-Péray;07;Auvergne-Rhône-Alpes;B2;B1
13008;Aurons;13;Provence-Alpes-Côte d'Azur;B2;B1
13010;Barbentane;13;Provence-Alpes-Côte d'Azur;B2;B1
13011;Les Baux-de-Provence;13;Provence-Alpes-Côte d'Azur;B2;B1
13018;Cabannes;13;Provence-Alpes-Côte d'Azur;B2;B1
13022;Cassis;13;Provence-Alpes-Côte d'Azur;A;Abis
13032;Éguilles;13;Provence-Alpes-Côte d'Azur;B1;A
13035;Eyguières;13;Provence-Alpes-Côte d'Azur;B2;B1
13036;Eyragues;13;Provence-Alpes-Côte d'Azur;B2;B1
13037;La Fare-les-Oliviers;13;Provence-Alpes-Côte d'Azur;B1;A
13038;Fontvieille;13;Provence-Alpes-Côte d'Azur;B2;B1
13045;Graveson;13;Provence-Alpes-Côte d'Azur;B2;B1
13048;Jouques;13;Provence-Alpes-Côte d'Azur;B2;B1
13049;Lamanon;13;Provence-Alpes-Côte d'Azur;B2;B1
13050;Lambesc;13;Provence-Alpes-Côte d'Azur;B1;A
13051;Lançon-Provence;13;Provence-Alpes-Côte d'Azur;B1;A
13053;Mallemort;13;Provence-Alpes-Côte d'Azur;B2;B1
13065;Mouriès;13;Provence-Alpes-Côte d'Azur;B2;B1
13066;Noves;13;Provence-Alpes-Côte d'Azur;B2;B1
13068;Paradou;13;Provence-Alpes-Côte d'Azur;B2;B1
13069;Pélissanne;13;Provence-Alpes-Côte d'Azur;B1;A
13079;Puyloubier;13;Provence-Alpes-Côte d'Azur;B2;B1
13080;Le Puy-Sainte-Réparade;13;Provence-Alpes-Côte d'Azur;B1;A
13082;Rognes;13;Provence-Alpes-Côte d'Azur;B1;A
13083;Rognonas;13;Provence-Alpes-Côte d'Azur;B2;B1
13084;La Roque-d'Anthéron;13;Provence-Alpes-Côte d'Azur;B2;B1
